# 研究生教育学科专业目录 · 学术学位一级学科（种子数据）
# 依据：《研究生教育学科专业目录（2022年）》
# ⚠️ status: seed —— 覆盖高置信度主干条目；军事学门类(11)暂缺；
#    完整性与最新修订由 import 脚本对照教育部发布文件核准后补全。
code,name,discipline_code,discipline_name
0101,哲学,01,哲学
0201,理论经济学,02,经济学
0202,应用经济学,02,经济学
0301,法学,03,法学
0302,政治学,03,法学
0303,社会学,03,法学
0304,民族学,03,法学
0305,马克思主义理论,03,法学
0306,公安学,03,法学
0307,中共党史党建学,03,法学
0308,纪检监察学,03,法学
0401,教育学,04,教育学
0402,心理学,04,教育学
0403,体育学,04,教育学
0501,中国语言文学,05,文学
0502,外国语言文学,05,文学
0503,新闻传播学,05,文学
0601,考古学,06,历史学
0602,中国史,06,历史学
0603,世界史,06,历史学
0701,数学,07,理学
0702,物理学,07,理学
0703,化学,07,理学
0704,天文学,07,理学
0705,地理学,07,理学
0706,大气科学,07,理学
0707,海洋科学,07,理学
0708,地球物理学,07,理学
0709,地质学,07,理学
0710,生物学,07,理学
0711,系统科学,07,理学
0712,科学技术史,07,理学
0713,生态学,07,理学
0714,统计学,07,理学
0801,力学,08,工学
0802,机械工程,08,工学
0803,光学工程,08,工学
0804,仪器科学与技术,08,工学
0805,材料科学与工程,08,工学
0806,冶金工程,08,工学
0807,动力工程及工程热物理,08,工学
0808,电气工程,08,工学
0809,电子科学与技术,08,工学
0810,信息与通信工程,08,工学
0811,控制科学与工程,08,工学
0812,计算机科学与技术,08,工学
0813,建筑学,08,工学
0814,土木工程,08,工学
0815,水利工程,08,工学
0816,测绘科学与技术,08,工学
0817,化学工程与技术,08,工学
0818,地质资源与地质工程,08,工学
0819,矿业工程,08,工学
0820,石油与天然气工程,08,工学
0821,纺织科学与工程,08,工学
0822,轻工技术与工程,08,工学
0823,交通运输工程,08,工学
0824,船舶与海洋工程,08,工学
0825,航空宇航科学与技术,08,工学
0826,兵器科学与技术,08,工学
0827,核科学与技术,08,工学
0828,农业工程,08,工学
0829,林业工程,08,工学
0830,环境科学与工程,08,工学
0831,生物医学工程,08,工学
0832,食品科学与工程,08,工学
0833,城乡规划学,08,工学
0834,风景园林学,08,工学
0835,软件工程,08,工学
0836,生物工程,08,工学
0837,安全科学与工程,08,工学
0838,公安技术,08,工学
0839,网络空间安全,08,工学
0901,作物学,09,农学
0902,园艺学,09,农学
0903,农业资源与环境,09,农学
0904,植物保护,09,农学
0905,畜牧学,09,农学
0906,兽医学,09,农学
0907,林学,09,农学
0908,水产,09,农学
0909,草学,09,农学
0910,水土保持与荒漠化防治学,09,农学
1001,基础医学,10,医学
1002,临床医学,10,医学
1003,口腔医学,10,医学
1004,公共卫生与预防医学,10,医学
1005,中医学,10,医学
1006,中西医结合,10,医学
1007,药学,10,医学
1008,中药学,10,医学
1009,特种医学,10,医学
1010,医学技术,10,医学
1011,护理学,10,医学
1201,管理科学与工程,12,管理学
1202,工商管理学,12,管理学
1203,农林经济管理,12,管理学
1204,公共管理学,12,管理学
1205,信息资源管理,12,管理学
1301,艺术学,13,艺术学
1401,集成电路科学与工程,14,交叉学科
1402,国家安全学,14,交叉学科
1403,设计学,14,交叉学科
1404,遥感科学与技术,14,交叉学科
1405,智能科学与技术,14,交叉学科
1406,区域国别学,14,交叉学科
