# 研究生教育学科专业目录 · 专业学位类别（种子数据）
# 依据：《研究生教育学科专业目录（2022年）》专业学位部分
# 6位代码为研招网招生"领域"码（0854 电子信息下设 085401~085412 等），
# group_code 指回 4 位类别码——匹配时领域码自动展开出母类别候选。
# ⚠️ status: seed —— 高置信度主干条目；完整性与最新修订由 import 脚本核准补全。
code,name,group_code,group_name
0251,金融,02,经济学
0252,应用统计,02,经济学
0253,税务,02,经济学
0254,国际商务,02,经济学
0255,保险,02,经济学
0256,资产评估,02,经济学
0257,审计,12,管理学
0351,法律,03,法学
0352,社会工作,03,法学
0353,警务,03,法学
0451,教育,04,教育学
0452,体育,04,教育学
0453,国际中文教育,04,教育学
0454,应用心理,04,教育学
0551,翻译,05,文学
0552,新闻与传播,05,文学
0553,出版,05,文学
0651,博物馆,06,历史学
0851,建筑学,08,工学
0853,城市规划,08,工学
0854,电子信息,08,工学
085401,新一代电子信息技术,0854,电子信息
085402,通信工程（含宽带网络、移动通信等）,0854,电子信息
085403,集成电路工程,0854,电子信息
085404,计算机技术,0854,电子信息
085405,软件工程,0854,电子信息
085406,控制工程,0854,电子信息
085407,仪器仪表工程,0854,电子信息
085408,光电信息工程,0854,电子信息
085409,生物医学工程,0854,电子信息
085410,人工智能,0854,电子信息
085411,大数据技术与工程,0854,电子信息
085412,网络与信息安全,0854,电子信息
0855,机械,08,工学
0856,材料与化工,08,工学
0857,资源与环境,08,工学
0858,能源动力,08,工学
0859,土木水利,08,工学
0860,生物与医药,08,工学
0861,交通运输,08,工学
0862,风景园林,08,工学
0951,农业,09,农学
0952,兽医,09,农学
0954,林业,09,农学
1051,临床医学,10,医学
1052,口腔医学,10,医学
1053,公共卫生,10,医学
1054,护理,10,医学
1055,药学,10,医学
1056,中药学,10,医学
1057,中医,10,医学
1251,工商管理,12,管理学
1252,公共管理,12,管理学
1253,会计,12,管理学
1254,旅游管理,12,管理学
1255,图书情报,12,管理学
1256,工程管理,12,管理学
1352,音乐,13,艺术学
1353,舞蹈,13,艺术学
1354,戏剧与影视,13,艺术学
1355,戏曲与曲艺,13,艺术学
1356,美术与书法,13,艺术学
1357,设计,13,艺术学
