# 普通高等学校本科专业目录（种子数据 · 子集）
# 依据：《普通高等学校本科专业目录（2020年版）》及后续备案审批结果
# ⚠️ status: seed-subset —— 仅收录约 150 个高频专业（全目录 770+），
#    用于 P0 匹配引擎开发与测试；完整目录由 import 脚本从教育部发布文件导入。
# 代码后缀含义: K=国家控制布点专业, T=特设专业
code,name,class_code,class_name,discipline_code,discipline_name
020101,经济学,0201,经济学类,02,经济学
020102,经济统计学,0201,经济学类,02,经济学
020103T,国民经济管理,0201,经济学类,02,经济学
020104T,资源与环境经济学,0201,经济学类,02,经济学
020105T,商务经济学,0201,经济学类,02,经济学
020106T,能源经济,0201,经济学类,02,经济学
020107T,数字经济,0201,经济学类,02,经济学
020201K,财政学,0202,财政学类,02,经济学
020202,税收学,0202,财政学类,02,经济学
020301K,金融学,0203,金融学类,02,经济学
020302,金融工程,0203,金融学类,02,经济学
020303,保险学,0203,金融学类,02,经济学
020304,投资学,0203,金融学类,02,经济学
020305T,金融数学,0203,金融学类,02,经济学
020306T,信用管理,0203,金融学类,02,经济学
020307T,经济与金融,0203,金融学类,02,经济学
020401,国际经济与贸易,0204,经济与贸易类,02,经济学
020402,贸易经济,0204,经济与贸易类,02,经济学
030101K,法学,0301,法学类,03,法学
030102T,知识产权,0301,法学类,03,法学
030103T,监狱学,0301,法学类,03,法学
030201,政治学与行政学,0302,政治学类,03,法学
030202,国际政治,0302,政治学类,03,法学
030203,外交学,0302,政治学类,03,法学
030301,社会学,0303,社会学类,03,法学
030302,社会工作,0303,社会学类,03,法学
040101,教育学,0401,教育学类,04,教育学
040102,科学教育,0401,教育学类,04,教育学
040104,教育技术学,0401,教育学类,04,教育学
040106,学前教育,0401,教育学类,04,教育学
040107,小学教育,0401,教育学类,04,教育学
040108,特殊教育,0401,教育学类,04,教育学
050101,汉语言文学,0501,中国语言文学类,05,文学
050102,汉语言,0501,中国语言文学类,05,文学
050103,汉语国际教育,0501,中国语言文学类,05,文学
050104,中国少数民族语言文学,0501,中国语言文学类,05,文学
