# 第二轮"双一流"建设高校名单（2022-02 教育部/财政部/国家发改委公布，共 147 所，不再区分一流大学/一流学科）
# 来源（全文核对）: https://gaokao.eol.cn/gan_su/dongtai/202305/t20230515_2406701_2.shtml
# ⚠️ status: seed —— 官方名单按校名全量收录；aliases 列收录"非子串型"常用简称（子串型简称如"华南理工"无需别名）
name,aliases
北京大学,
中国人民大学,人大
清华大学,
北京交通大学,北交大
北京工业大学,
北京航空航天大学,北航
北京理工大学,北理工
北京科技大学,北科大
北京化工大学,
北京邮电大学,北邮
中国农业大学,中国农大
北京林业大学,北林
北京协和医学院,协和
北京中医药大学,
北京师范大学,北师大
首都师范大学,首师大
北京外国语大学,北外
中国传媒大学,中传/广院
中央财经大学,央财
对外经济贸易大学,外经贸/贸大
外交学院,
中国人民公安大学,公安大学
北京体育大学,北体
中央音乐学院,央音
中国音乐学院,国音
中央美术学院,央美
中央戏剧学院,中戏
中央民族大学,中央民大
中国政法大学,法大/中政法
南开大学,
天津大学,天大
天津工业大学,
天津医科大学,
天津中医药大学,
华北电力大学,华电
河北工业大学,
山西大学,
太原理工大学,
内蒙古大学,
辽宁大学,
大连理工大学,大连理工/大工
东北大学,
大连海事大学,
吉林大学,吉大
延边大学,
东北师范大学,东北师大
哈尔滨工业大学,哈工大
哈尔滨工程大学,哈工程
东北农业大学,
东北林业大学,
复旦大学,复旦
同济大学,同济
上海交通大学,上海交大/上交
华东理工大学,华理
东华大学,
上海海洋大学,
上海中医药大学,
华东师范大学,华东师大
上海外国语大学,上外
上海财经大学,上财
上海体育学院,上海体育大学
上海音乐学院,上音
上海大学,上大
南京大学,南大
苏州大学,苏大
东南大学,
南京航空航天大学,南航
南京理工大学,南理工
中国矿业大学,矿大
南京邮电大学,南邮
河海大学,河海
江南大学,
南京林业大学,南林
南京信息工程大学,南信大
南京农业大学,南农
南京医科大学,南医大
南京中医药大学,
中国药科大学,药大
南京师范大学,南师大
浙江大学,浙大
中国美术学院,国美
安徽大学,安大
中国科学技术大学,中科大/科大
合肥工业大学,合工大
厦门大学,厦大
福州大学,福大
南昌大学,昌大
山东大学,山大
中国海洋大学,中国海大
中国石油大学（华东）,石大
郑州大学,郑大
河南大学,河大
武汉大学,武大
华中科技大学,华中科大/华科
中国地质大学（武汉）,地大
武汉理工大学,武汉理工
华中农业大学,华农
华中师范大学,华中师大
中南财经政法大学,中南财大
湘潭大学,湘大
湖南大学,湖大
中南大学,
湖南师范大学,湖南师大
中山大学,中大
暨南大学,暨大
华南理工大学,华南理工/华工
华南农业大学,华南农大
广州医科大学,广医
广州中医药大学,广中医
华南师范大学,华南师大
海南大学,
广西大学,广西大
四川大学,川大
重庆大学,重大
西南交通大学,西南交大
电子科技大学,成电/电子科大
西南石油大学,
成都理工大学,成都理工
四川农业大学,川农
成都中医药大学,
西南大学,
西南财经大学,西南财大/西财
贵州大学,贵大
云南大学,云大
西藏大学,
西北大学,西大
西安交通大学,西安交大/西交
西北工业大学,西工大
西安电子科技大学,西电
长安大学,
西北农林科技大学,西农/西北农林
陕西师范大学,陕师大
兰州大学,兰大
青海大学,
宁夏大学,
新疆大学,新大
石河子大学,
中国矿业大学（北京）,
中国石油大学（北京）,
中国地质大学（北京）,
宁波大学,
南方科技大学,南科大
上海科技大学,上科大
中国科学院大学,国科大
国防科技大学,国防科大
海军军医大学,第二军医大学
空军军医大学,第四军医大学
